fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.0;0.27;0.36;20.70;0.045;45;170;1.0010;3.00;0.45;8.80;6
6.3;0.30;0.34;1.60;0.049;14;132;0.9940;3.30;0.49;9.50;6
8.1;0.28;0.40;6.90;0.050;30;97;0.9951;3.26;0.44;10.10;6
7.2;0.23;0.32;8.50;0.058;47;186;0.9956;3.19;0.40;9.90;6
7.2;0.23;0.32;8.50;0.058;47;186;0.9956;3.19;0.40;9.90;6
8.1;0.28;0.40;6.90;0.050;30;97;0.9951;3.26;0.44;10.10;6
6.2;0.32;0.16;7.00;0.045;30;136;0.9949;3.18;0.47;9.60;6
7.0;0.27;0.36;20.70;0.045;45;170;1.0010;3.00;0.45;8.80;6
6.3;0.30;0.34;1.60;0.049;14;132;0.9940;3.30;0.49;9.50;6
8.1;0.22;0.43;1.50;0.044;28;129;0.9938;3.22;0.45;11.00;6
8.1;0.27;0.41;1.45;0.033;11;63;0.9908;2.99;0.56;12.00;5
8.6;0.23;0.40;4.20;0.035;17;109;0.9947;3.14;0.53;9.70;5
7.9;0.18;0.37;1.20;0.040;16;75;0.9920;3.18;0.63;10.80;5
6.6;0.16;0.40;1.50;0.044;48;143;0.9912;3.54;0.52;12.40;7
8.3;0.42;0.62;19.25;0.040;41;172;1.0002;2.98;0.67;9.70;5
6.6;0.17;0.38;1.50;0.032;28;112;0.9914;3.25;0.55;11.40;7
6.3;0.48;0.04;1.10;0.046;30;99;0.9928;3.24;0.36;9.60;6
6.2;0.66;0.48;1.20;0.029;29;75;0.9892;3.33;0.39;12.80;8
7.4;0.34;0.42;1.10;0.033;17;171;0.9917;3.12;0.53;11.30;6
6.5;0.31;0.14;7.50;0.044;34;133;0.9955;3.22;0.50;9.50;5
6.2;0.66;0.48;1.20;0.029;29;75;0.9892;3.33;0.39;12.80;8
6.4;0.31;0.38;2.90;0.038;19;102;0.9912;3.17;0.35;11.00;7
6.8;0.26;0.42;1.70;0.049;41;122;0.9930;3.47;0.48;10.50;8
7.6;0.67;0.14;1.50;0.074;25;168;0.9937;3.05;0.51;9.30;5
6.6;0.27;0.41;1.30;0.052;16;142;0.9951;3.42;0.47;10.00;6
7.0;0.25;0.32;9.00;0.046;56;245;0.9955;3.25;0.50;10.40;6
6.9;0.24;0.35;1.00;0.052;35;146;0.9930;3.45;0.44;10.00;6
7.0;0.28;0.39;8.70;0.051;32;141;0.9961;3.38;0.53;10.50;6
7.4;0.27;0.48;1.10;0.047;17;132;0.9914;3.19;0.49;11.60;6
7.2;0.32;0.36;2.00;0.033;37;114;0.9906;3.10;0.71;12.30;7
8.5;0.24;0.39;10.40;0.044;20;142;0.9974;3.20;0.53;10.00;6
8.3;0.14;0.34;1.10;0.042;7;47;0.9934;3.47;0.40;10.20;6
7.4;0.25;0.36;2.05;0.050;31;100;0.9920;3.19;0.44;10.80;6
6.2;0.12;0.34;1.50;0.045;43;117;0.9939;3.42;0.51;9.00;6
5.8;0.27;0.20;14.95;0.044;22;179;0.9962;3.37;0.37;10.20;5
7.3;0.28;0.43;1.70;0.080;21;123;0.9905;3.19;0.42;12.80;5
6.5;0.39;0.23;5.40;0.051;25;149;0.9934;3.24;0.35;10.00;5
7.0;0.33;0.32;1.20;0.053;38;138;0.9906;3.13;0.28;11.20;6
7.3;0.24;0.39;17.95;0.057;45;149;0.9999;3.21;0.36;8.60;5
7.3;0.24;0.39;17.95;0.057;45;149;0.9999;3.21;0.36;8.60;5
6.7;0.23;0.39;2.50;0.172;63;158;0.9937;3.11;0.36;9.40;6
